,Original Tweet ID,Reply ID
0,1265084253357907969,1266507730564481025
1,1265084253357907969,1266124937766547457
2,1265084253357907969,1265868550243266560
3,1265084253357907969,1265868117114322944
4,1265084253357907969,1265867974155677696
5,1265084253357907969,1265867657997402112
6,1265084253357907969,1265815545200414720
7,1265084253357907969,1265807188632756225
8,1265084253357907969,1265635281740455936
9,1265084253357907969,1265402479866286080
10,1265084253357907969,1265393744162979840
11,1265084253357907969,1265094106352455680
12,1265084253357907969,1265090819297509377
13,1265084253357907969,1265090317189025792
14,1265084253357907969,1265088938164793345
15,1265084253357907969,1265085654041534466
16,1265084253357907969,1265084785602498560
17,1252420840957730816,1252659878465646593
18,1252420840957730816,1252462105690664966
19,1252420840957730816,1252448843540467715
20,1252420840957730816,1252442682108129283
21,1252420840957730816,1252425839095906304
22,1270081492908216320,1365322065688027139
23,1270081492908216320,1365307268925915143
24,1270081492908216320,1365307266673631235
25,1270081492908216320,1330786795412475905
26,1270081492908216320,1295404022388539392
27,1270081492908216320,1278460298786033664
28,1270081492908216320,1276972751610314755
29,1270081492908216320,1276604426237677575
30,1270081492908216320,1272943194385321985
31,1270081492908216320,1272621676644065281
32,1270081492908216320,1272541937342570501
33,1270081492908216320,1272498572001529863
34,1270081492908216320,1272272055971373056
35,1270081492908216320,1272243543738851330
36,1270081492908216320,1272089659137548288
37,1270081492908216320,1272067741113937930
38,1270081492908216320,1271883226714431489
39,1270081492908216320,1271861142252515328
40,1270081492908216320,1271790319651225600
41,1270081492908216320,1271788393354190848
42,1270081492908216320,1271787999286702081
43,1270081492908216320,1271613409163980801
44,1270081492908216320,1271613064547389440
45,1270081492908216320,1271087117817581568
46,1270081492908216320,1271075815976026122
47,1270081492908216320,1271074870139510784
48,1270081492908216320,1271074582997471236
49,1270081492908216320,1271074327916658689
50,1270081492908216320,1271048708042502144
51,1270081492908216320,1270963411720036353
52,1270081492908216320,1270962406638968832
53,1270081492908216320,1270940123866247168
54,1270081492908216320,1270889674861510657
55,1270081492908216320,1270874814962708481
56,1270081492908216320,1270861511645261824
57,1270081492908216320,1270857498459869192
58,1270081492908216320,1270856584424538112
59,1270081492908216320,1270856442648592387
60,1270081492908216320,1270856321315868675
61,1270081492908216320,1270854494788751361
62,1270081492908216320,1270775865346076672
63,1270081492908216320,1270770190314283010
64,1270081492908216320,1270755199368540160
65,1270081492908216320,1270748851054481408
66,1270081492908216320,1270748051372679169
67,1270081492908216320,1270736248190033921
68,1270081492908216320,1270729434304110593
69,1270081492908216320,1270724454096617473
70,1270081492908216320,1270700966216597508
71,1270081492908216320,1270695929310580739
72,1270081492908216320,1270694406820167680
73,1270081492908216320,1270691716631273473
74,1270081492908216320,1270689924753358848
75,1270081492908216320,1270686993891106819
76,1270081492908216320,1270678626204344320
77,1270081492908216320,1270653944222699521
78,1270081492908216320,1270648958906281985
79,1270081492908216320,1270645565030711300
80,1270081492908216320,1270644261856264193
81,1270081492908216320,1270643700163465217
82,1270081492908216320,1270640106081333249
83,1270081492908216320,1270639835217354752
84,1270081492908216320,1270630560348737541
85,1270081492908216320,1270622134969262082
86,1270081492908216320,1270618388998610946
87,1270081492908216320,1270607217113399296
88,1270081492908216320,1270597296007282688
89,1270081492908216320,1270591659282255872
90,1270081492908216320,1270588745482416128
91,1270081492908216320,1270577890711662592
92,1270081492908216320,1270576815942361089
93,1270081492908216320,1270576460164591616
94,1270081492908216320,1270571356317499397
95,1270081492908216320,1270569515873636352
96,1270081492908216320,1270568827152023557
97,1270081492908216320,1270562763580960768
98,1270081492908216320,1270557261899853829
99,1270081492908216320,1270554600911671297
100,1270081492908216320,1270544943476469760
101,1270081492908216320,1270540559145480192
102,1270081492908216320,1270537681299050497
103,1270081492908216320,1270537135687266305
104,1270081492908216320,1270532804753756160
105,1270081492908216320,1270531004415963136
106,1270081492908216320,1270528835147173888
107,1270081492908216320,1270525847016026112
108,1250292126643941376,1520506798746136577
109,1250292126643941376,1520446210301206529
110,1250292126643941376,1520434737285795841
111,1250292126643941376,1520289321726603264
112,1250292126643941376,1520289067161763840
113,1250292126643941376,1520286894109585408
114,1250292126643941376,1520210724844310529
115,1250292126643941376,1520197841490128897
116,1250292126643941376,1520197799194865664
117,1250292126643941376,1520197233362145280
118,1250292126643941376,1520197130815741952
119,1250292126643941376,1520196819829071879
120,1250292126643941376,1520196523694383104
121,1250292126643941376,1520196011880239106
122,1250292126643941376,1520195738935783425
123,1250292126643941376,1520195728496332800
124,1250292126643941376,1513027691150123008
125,1250292126643941376,1495667692719718402
126,1250292126643941376,1495664912475041795
127,1250292126643941376,1494959138614702080
128,1250292126643941376,1486184892673052674
129,1250292126643941376,1485228058206371841
130,1250292126643941376,1447047778673127427
131,1250292126643941376,1416227779721445379
132,1250292126643941376,1415294590416941056
133,1250292126643941376,1412148006724509699
134,1250292126643941376,1402033248327421956
135,1250292126643941376,1397183173176463363
136,1250292126643941376,1397163001468293127
137,1250292126643941376,1397126923789078529
138,1250292126643941376,1397049124801839104
139,1250292126643941376,1397043158056378373
140,1250292126643941376,1394523258909831169
141,1250292126643941376,1390150750530117633
142,1250292126643941376,1381250267576950790
143,1250292126643941376,1381221519557332992
144,1250292126643941376,1381220948934852611
145,1250292126643941376,1377052670234488834
146,1250292126643941376,1371119148260941830
147,1250292126643941376,1371116498282934278
148,1250292126643941376,1362725760964976644
149,1250292126643941376,1362514651536363526
150,1250292126643941376,1362514104427151365
151,1250292126643941376,1361895905171972096
152,1250292126643941376,1357145999744118784
153,1250292126643941376,1348550756996100096
154,1250292126643941376,1341685214716833792
155,1250292126643941376,1333857954764906498
156,1250292126643941376,1333846762524602374
157,1250292126643941376,1333846590428127232
158,1250292126643941376,1333846417161347072
159,1250292126643941376,1333618139456737281
160,1250292126643941376,1332154960679555075
161,1250292126643941376,1332153835775660032
162,1250292126643941376,1331288503959908352
